zone,index,page,category,confidence,topic
Zone 4A,1,90,Against proposed Zoning Changes,high,Parking
Zone 4A,1,90,Against proposed Zoning Changes,high,Traffic and safety
Zone 4A,1,90,Against proposed Zoning Changes,high,Density
Zone 4A,1,90,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,2,90,Against proposed Zoning Changes,high,Green space and stormwater
Zone 4A,3,90,Neutral,medium,Unclear or neutral
Zone 4A,4,90,Against proposed Zoning Changes,high,General opposition
Zone 4A,5,90,Against proposed Zoning Changes,high,General opposition
Zone 4A,6,90,Against proposed Zoning Changes,high,Parking
Zone 4A,6,90,Against proposed Zoning Changes,high,Density
Zone 4A,7,90,Against proposed Zoning Changes,high,Building height
Zone 4A,8,90,In Favor of proposed Zoning Changes,high,Density
Zone 4A,9,90,In Favor of proposed Zoning Changes,high,General support
Zone 4A,10,90,In Favor of proposed Zoning Changes,high,General support
Zone 4A,11,90,Against proposed Zoning Changes,high,General opposition
Zone 4A,12,90,Against proposed Zoning Changes,high,General opposition
Zone 4A,13,90,Against proposed Zoning Changes,high,General opposition
Zone 4A,14,90,In Favor of proposed Zoning Changes,high,Affordable housing
Zone 4A,15,91,Against proposed Zoning Changes,high,General opposition
Zone 4A,16,91,Against proposed Zoning Changes,high,Building height
Zone 4A,17,91,Against proposed Zoning Changes,medium,Parking
Zone 4A,17,91,Against proposed Zoning Changes,medium,Traffic and safety
Zone 4A,18,91,Against proposed Zoning Changes,high,General opposition
Zone 4A,19,91,Against proposed Zoning Changes,high,General opposition
Zone 4A,20,91,Against proposed Zoning Changes,high,General opposition
Zone 4A,21,91,Against proposed Zoning Changes,high,Parking
Zone 4A,21,91,Against proposed Zoning Changes,high,Density
Zone 4A,22,91,Against proposed Zoning Changes,high,Building height
Zone 4A,22,91,Against proposed Zoning Changes,high,Density
Zone 4A,22,91,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,23,91,Neutral,medium,Conditional or mixed response
Zone 4A,24,91,Against proposed Zoning Changes,medium,General opposition
Zone 4A,25,91,Against proposed Zoning Changes,high,Building height
Zone 4A,25,91,Against proposed Zoning Changes,high,Density
Zone 4A,25,91,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,26,91,Against proposed Zoning Changes,high,General opposition
Zone 4A,27,91,In Favor of proposed Zoning Changes,medium,Density
Zone 4A,28,91,Against proposed Zoning Changes,high,General support
Zone 4A,29,91,Against proposed Zoning Changes,high,General opposition
Zone 4A,30,92,Against proposed Zoning Changes,high,Parking
Zone 4A,31,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,32,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,33,92,Against proposed Zoning Changes,medium,Developer incentives
Zone 4A,34,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,35,92,Against proposed Zoning Changes,high,Parking
Zone 4A,36,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,37,92,Against proposed Zoning Changes,high,Density
Zone 4A,37,92,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,38,92,Against proposed Zoning Changes,high,Parking
Zone 4A,38,92,Against proposed Zoning Changes,high,Building height
Zone 4A,39,92,Against proposed Zoning Changes,high,Density
Zone 4A,39,92,Against proposed Zoning Changes,high,Conditional or mixed response
Zone 4A,40,92,Against proposed Zoning Changes,medium,Parking
Zone 4A,41,92,In Favor of proposed Zoning Changes,high,Parking
Zone 4A,42,92,In Favor of proposed Zoning Changes,high,Traffic and safety
Zone 4A,43,92,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,44,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,45,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,46,92,Against proposed Zoning Changes,high,General support
Zone 4A,47,92,In Favor of proposed Zoning Changes,medium,General support
Zone 4A,48,92,Against proposed Zoning Changes,high,General support
Zone 4A,49,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,50,92,Neutral,high,Unclear or neutral
Zone 4A,51,92,Against proposed Zoning Changes,medium,General opposition
Zone 4A,52,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,53,92,Against proposed Zoning Changes,high,General opposition
Zone 4A,54,92,Against proposed Zoning Changes,high,Building height
