zone,index,page,category,confidence,rationale,topics,topic_count,needs_review,mixed_flag
Zone 4A,1,90,Against proposed Zoning Changes,high,opposes apartments traffic parking,Parking; Traffic and safety; Density; Conditional or mixed response,4,no,yes
Zone 4A,2,90,Against proposed Zoning Changes,high,opposes ADUs and lot coverage,Green space and stormwater,1,no,no
Zone 4A,3,90,Neutral,medium,needs more information,Unclear or neutral,1,yes,no
Zone 4A,4,90,Against proposed Zoning Changes,high,explicitly opposes 4a changes,General opposition,1,no,no
Zone 4A,5,90,Against proposed Zoning Changes,high,against new development,General opposition,1,no,no
Zone 4A,6,90,Against proposed Zoning Changes,high,opposes density and parking impacts,Parking; Density,2,no,no
Zone 4A,7,90,Against proposed Zoning Changes,high,opposes height and setbacks,Building height,1,no,no
Zone 4A,8,90,In Favor of proposed Zoning Changes,high,supports additional housing units,Density,1,no,no
Zone 4A,9,90,In Favor of proposed Zoning Changes,high,says approve,General support,1,no,no
Zone 4A,10,90,In Favor of proposed Zoning Changes,high,says agree,General support,1,no,no
Zone 4A,11,90,Against proposed Zoning Changes,high,not in favor of higher buildings,General opposition,1,no,no
Zone 4A,12,90,Against proposed Zoning Changes,high,opposes high rise buildings,General opposition,1,no,no
Zone 4A,13,90,Against proposed Zoning Changes,high,says stop development,General opposition,1,no,no
Zone 4A,14,90,In Favor of proposed Zoning Changes,high,supports with affordability caveat,Affordable housing,1,no,no
Zone 4A,15,91,Against proposed Zoning Changes,high,explicitly opposes proposed changes,General opposition,1,no,no
Zone 4A,16,91,Against proposed Zoning Changes,high,opposes taller buildings,Building height,1,no,no
Zone 4A,17,91,Against proposed Zoning Changes,medium,requires off street parking,Parking; Traffic and safety,2,yes,no
Zone 4A,18,91,Against proposed Zoning Changes,high,opposes urbanizing change,General opposition,1,no,no
Zone 4A,19,91,Against proposed Zoning Changes,high,opposes more building,General opposition,1,no,no
Zone 4A,20,91,Against proposed Zoning Changes,high,urges rejection of changes,General opposition,1,no,no
Zone 4A,21,91,Against proposed Zoning Changes,high,opposes density without parking,Parking; Density,2,no,no
Zone 4A,22,91,Against proposed Zoning Changes,high,against apartments and taller buildings,Building height; Density; Conditional or mixed response,3,no,yes
Zone 4A,23,91,Neutral,medium,unsure and conditional,Conditional or mixed response,1,yes,yes
Zone 4A,24,91,Against proposed Zoning Changes,medium,says no and reconsider later,General opposition,1,yes,no
Zone 4A,25,91,Against proposed Zoning Changes,high,opposes apartments density height,Building height; Density; Conditional or mixed response,3,no,yes
Zone 4A,26,91,Against proposed Zoning Changes,high,strongly opposes,General opposition,1,no,no
Zone 4A,27,91,In Favor of proposed Zoning Changes,medium,supports density overall,Density,1,yes,no
Zone 4A,28,91,Against proposed Zoning Changes,high,not supportive,General support,1,no,no
Zone 4A,29,91,Against proposed Zoning Changes,high,very opposed,General opposition,1,no,no
Zone 4A,30,92,Against proposed Zoning Changes,high,terrible idea parking concerns,Parking,1,no,no
Zone 4A,31,92,Against proposed Zoning Changes,high,disagrees with most proposed changes,General opposition,1,no,no
Zone 4A,32,92,Against proposed Zoning Changes,high,not in favor,General opposition,1,no,no
Zone 4A,33,92,Against proposed Zoning Changes,medium,skeptical of builder influence,Developer incentives,1,yes,no
Zone 4A,34,92,Against proposed Zoning Changes,high,does not like solution,General opposition,1,no,no
Zone 4A,35,92,Against proposed Zoning Changes,high,against due to parking,Parking,1,no,no
Zone 4A,36,92,Against proposed Zoning Changes,high,opposes zoning changes,General opposition,1,no,no
Zone 4A,37,92,Against proposed Zoning Changes,high,strongly objects to apartments,Density; Conditional or mixed response,2,no,yes
Zone 4A,38,92,Against proposed Zoning Changes,high,rejects height and parking changes,Parking; Building height,2,no,no
Zone 4A,39,92,Against proposed Zoning Changes,high,opposes more apartments,Density; Conditional or mixed response,2,no,yes
Zone 4A,40,92,Against proposed Zoning Changes,medium,rejects reduced parking,Parking,1,yes,no
Zone 4A,41,92,In Favor of proposed Zoning Changes,high,supports reduced parking,Parking,1,no,no
Zone 4A,42,92,In Favor of proposed Zoning Changes,high,supports more foot traffic,Traffic and safety,1,no,no
Zone 4A,43,92,In Favor of proposed Zoning Changes,medium,says good,General support,1,yes,no
Zone 4A,44,92,Against proposed Zoning Changes,high,says not smart,General opposition,1,no,no
Zone 4A,45,92,Against proposed Zoning Changes,high,strongly against,General opposition,1,no,no
Zone 4A,46,92,Against proposed Zoning Changes,high,does not support,General support,1,no,no
Zone 4A,47,92,In Favor of proposed Zoning Changes,medium,thumbs up,General support,1,yes,no
Zone 4A,48,92,Against proposed Zoning Changes,high,does not agree with changes,General support,1,no,no
Zone 4A,49,92,Against proposed Zoning Changes,high,not in favor,General opposition,1,no,no
Zone 4A,50,92,Neutral,high,states neutral,Unclear or neutral,1,no,no
Zone 4A,51,92,Against proposed Zoning Changes,medium,alleges conflicts and property harm,General opposition,1,yes,no
Zone 4A,52,92,Against proposed Zoning Changes,high,zoning not acceptable,General opposition,1,no,no
Zone 4A,53,92,Against proposed Zoning Changes,high,opposes fourth floors,General opposition,1,no,no
Zone 4A,54,92,Against proposed Zoning Changes,high,opposes height and new zoning,Building height,1,no,no
Zone 4A,55,92,Against proposed Zoning Changes,high,says no good,General opposition,1,no,no
Zone 4A,56,93,Against proposed Zoning Changes,high,opposes density and parking reduction,Parking; Density,2,no,no
Zone 4A,57,93,Against proposed Zoning Changes,high,says against it,General opposition,1,no,no
Zone 4A,58,93,Against proposed Zoning Changes,high,absolutely against,General opposition,1,no,no
Zone 4A,59,93,Against proposed Zoning Changes,medium,prefers no growth due to parking,Parking,1,yes,no
Zone 4A,60,93,Against proposed Zoning Changes,medium,says destroying Narberth,General opposition,1,yes,no
Zone 4A,61,93,Against proposed Zoning Changes,high,rejects apartments and parking reduction,Parking; Density; Conditional or mixed response,3,no,yes
Zone 4A,62,93,Against proposed Zoning Changes,high,rejects height and parking changes,Parking; Building height,2,no,no
Zone 4A,63,93,Against proposed Zoning Changes,high,calls ideas terrible,General opposition,1,no,no
Zone 4A,64,93,In Favor of proposed Zoning Changes,high,strongly supports parking reduction,Parking,1,no,no
Zone 4A,65,93,Against proposed Zoning Changes,high,asks rejection,General opposition,1,no,no
Zone 4A,66,93,In Favor of proposed Zoning Changes,high,supports going higher,General support,1,no,no
Zone 4A,67,93,Against proposed Zoning Changes,medium,says residents do not want issues,General opposition,1,yes,no
Zone 4A,68,93,Against proposed Zoning Changes,high,opposes density impacts,Density,1,no,no
Zone 4A,69,93,In Favor of proposed Zoning Changes,high,reasonable changes,General support,1,no,no
Zone 4A,70,94,Against proposed Zoning Changes,high,opposes height affordability parking changes,Parking; Building height; Affordable housing,3,no,no
Zone 4A,71,94,In Favor of proposed Zoning Changes,high,supports density and parking proposals,Parking; Density,2,no,no
Zone 4A,72,94,Against proposed Zoning Changes,high,rejects ADUs height and parking reduction,Parking; Building height,2,no,no
Zone 4A,73,94,Against proposed Zoning Changes,medium,rejects less than one parking space,Parking,1,yes,no
Zone 4A,74,94,In Favor of proposed Zoning Changes,high,supports eliminating parking minimums,Parking,1,no,no
Zone 4A,75,94,Against proposed Zoning Changes,medium,limits change and opposes apartments,Density; Conditional or mixed response,2,yes,yes
Zone 4A,76,94,Against proposed Zoning Changes,high,rejects parking reduction and fourth story,Parking; Building height,2,no,no
Zone 4A,77,94,Against proposed Zoning Changes,high,opposes reduced parking,Parking,1,no,no
Zone 4A,78,94,Against proposed Zoning Changes,high,opposes apartment scale and parking,Parking; Density; Neighborhood character; Conditional or mixed response,4,no,yes
Zone 4A,79,94,In Favor of proposed Zoning Changes,medium,says fine,General support,1,yes,no
Zone 4A,80,94,Against proposed Zoning Changes,high,opposed,General opposition,1,no,no
Zone 4A,81,94,Against proposed Zoning Changes,high,bad idea,General opposition,1,no,no
Zone 4A,82,94,Against proposed Zoning Changes,medium,says proposal lacks parking,Parking,1,yes,no
Zone 4A,83,94,Against proposed Zoning Changes,high,not needed,General opposition,1,no,no
Zone 4A,84,94,Neutral,low,refers to prior answer,Unclear or neutral,1,yes,no
Zone 4A,85,94,Against proposed Zoning Changes,high,does not support,General support,1,no,no
Zone 4A,86,94,Against proposed Zoning Changes,high,opposes high rise buildings,General opposition,1,no,no
Zone 4A,87,94,Against proposed Zoning Changes,high,not in favor due traffic noise,Traffic and safety,1,no,no
Zone 4A,88,94,Against proposed Zoning Changes,high,says not good,General opposition,1,no,no
Zone 4A,89,94,Against proposed Zoning Changes,medium,concerned about developers and height,Building height; Developer incentives,2,yes,no
Zone 4A,90,94,Against proposed Zoning Changes,high,opposes density bonus parking height,Parking; Building height; Density; Affordable housing,4,no,no
Zone 4A,91,94,In Favor of proposed Zoning Changes,high,explicitly supports changes,General support,1,no,no
Zone 4A,92,94,Against proposed Zoning Changes,high,opposes more apartments,Density; Conditional or mixed response,2,no,yes
Zone 4A,93,94,Against proposed Zoning Changes,high,opposes apartments and parking reduction,Parking; Density; Conditional or mixed response,3,no,yes
Zone 4A,94,94,Against proposed Zoning Changes,high,disagrees with height increase,Building height,1,no,no
Zone 4A,95,94,Against proposed Zoning Changes,high,does not support zoning change,General support,1,no,no
Zone 4A,96,94,Against proposed Zoning Changes,medium,prefers status quo,General opposition,1,yes,no
Zone 4A,97,95,Neutral,low,refers to prior answer,Unclear or neutral,1,yes,no
Zone 4A,98,95,Against proposed Zoning Changes,high,disagree,General opposition,1,no,no
Zone 4A,99,95,Against proposed Zoning Changes,high,rejects height and parking changes,Parking; Building height,2,no,no
Zone 4A,100,95,Against proposed Zoning Changes,high,opposes more apartments,Density; Conditional or mixed response,2,no,yes
Zone 4A,101,95,Against proposed Zoning Changes,high,wants zoning left unchanged,General opposition,1,no,no
Zone 4A,102,95,In Favor of proposed Zoning Changes,medium,supports fourth story possibility,Building height,1,yes,no
Zone 4A,103,95,Against proposed Zoning Changes,high,opposes removing conditional use and parking reduction,Parking; Conditional or mixed response,2,no,yes
Zone 4A,104,95,Against proposed Zoning Changes,high,wants zone kept as is,General opposition,1,no,no
Zone 4A,105,95,Against proposed Zoning Changes,high,opposes density anywhere,Density,1,no,no
Zone 4A,106,95,Against proposed Zoning Changes,medium,cites transit and parking problems,Parking; Transit and walkability,2,yes,no
Zone 4A,107,95,Against proposed Zoning Changes,high,opposes height increase,Building height,1,no,no
Zone 4A,108,95,Against proposed Zoning Changes,high,opposes apartments and multifamily,Density; Conditional or mixed response,2,no,yes
Zone 4A,109,95,Against proposed Zoning Changes,high,directly says do not,General opposition,1,no,no
Zone 4A,110,95,Against proposed Zoning Changes,high,opposes height traffic and drainage impacts,Traffic and safety; Building height,2,no,no
Zone 4A,111,95,Against proposed Zoning Changes,high,opposes height and parking changes,Parking; Building height,2,no,no
Zone 4A,112,95,Against proposed Zoning Changes,high,very opposed,General opposition,1,no,no
Zone 4A,113,95,Against proposed Zoning Changes,high,strongly disagrees,General opposition,1,no,no
Zone 4A,114,95,Against proposed Zoning Changes,high,opposes unsupported density,Density,1,no,no
Zone 4A,115,95,Against proposed Zoning Changes,medium,criticizes density issues as unresolved,Density,1,yes,no
Zone 4A,116,95,Against proposed Zoning Changes,high,explicitly against it,General opposition,1,no,no
Zone 4A,117,95,In Favor of proposed Zoning Changes,high,says likes it,General support,1,no,no
Zone 4A,118,95,Against proposed Zoning Changes,high,rejects more apartments,Density; Conditional or mixed response,2,no,yes
Zone 4A,119,95,Against proposed Zoning Changes,high,opposes four stories and apartments,Building height; Density; Conditional or mixed response,3,no,yes
Zone 4A,120,95,In Favor of proposed Zoning Changes,medium,likes septa pass caveat,Transit and walkability,1,yes,no
Zone 4A,121,95,In Favor of proposed Zoning Changes,medium,finds proposal more reasonable,General support,1,yes,no
Zone 4A,122,95,Against proposed Zoning Changes,high,opposes higher building,General opposition,1,no,no
Zone 4A,123,95,Against proposed Zoning Changes,high,opposes parking reduction,Parking,1,no,no
Zone 4A,124,95,In Favor of proposed Zoning Changes,high,agrees with them,General support,1,no,no
Zone 4A,125,95,In Favor of proposed Zoning Changes,high,says changes sound good,General support,1,no,no
Zone 4A,126,95,In Favor of proposed Zoning Changes,medium,finds proposal feasible with question,General support,1,yes,no
Zone 4A,127,95,Neutral,medium,unclear and asks about parking reduction,Parking,1,yes,no
Zone 4A,128,95,Against proposed Zoning Changes,high,does not like it,General opposition,1,no,no
Zone 4A,129,96,In Favor of proposed Zoning Changes,high,explicitly in favor,General support,1,no,no
Zone 4A,130,96,Against proposed Zoning Changes,medium,emphasizes scarce parking,Parking,1,yes,no
Zone 4A,131,96,In Favor of proposed Zoning Changes,high,supports lower income housing incentive,Developer incentives,1,no,no
Zone 4A,132,96,In Favor of proposed Zoning Changes,high,finds changes appropriate,General support,1,no,no
Zone 4A,133,96,Against proposed Zoning Changes,high,rejects proposals outright,General opposition,1,no,no
Zone 4A,134,96,In Favor of proposed Zoning Changes,medium,supports fourth floor with caveat,General support,1,yes,no
Zone 4A,135,96,Against proposed Zoning Changes,high,calls idea terrible and too urban,General opposition,1,no,no
Zone 4A,136,96,Neutral,high,needs more information,Unclear or neutral,1,no,no
Zone 4A,137,96,Against proposed Zoning Changes,high,accepts some types but rejects fourth story,Building height; Conditional or mixed response,2,no,yes
Zone 4A,138,96,Against proposed Zoning Changes,high,opposes density parking and height,Parking; Building height; Density,3,no,no
Zone 4A,139,96,Against proposed Zoning Changes,high,against additional housing development,General opposition,1,no,no
Zone 4A,140,96,Against proposed Zoning Changes,high,opposes more apartments,Density; Conditional or mixed response,2,no,yes
