zone,index,page,category,confidence,rationale,topics,topic_count,needs_review,mixed_flag
Zone 5B,1,77,Against proposed Zoning Changes,high,explicitly disagrees with changes,General opposition,1,no,no
Zone 5B,2,77,Against proposed Zoning Changes,medium,conditional on more parking,Parking; Conditional or mixed response,2,yes,yes
Zone 5B,3,77,Neutral,medium,asks about building impacts,Unclear or neutral,1,yes,no
Zone 5B,4,77,Against proposed Zoning Changes,high,opposes changes over parking,Parking,1,no,no
Zone 5B,5,77,Against proposed Zoning Changes,high,opposes new development,General opposition,1,no,no
Zone 5B,6,77,Against proposed Zoning Changes,high,not in favor,General opposition,1,no,no
Zone 5B,7,77,Against proposed Zoning Changes,high,rejects parking reduction and density,Parking; Density,2,no,no
Zone 5B,8,77,In Favor of proposed Zoning Changes,high,supports more housing and business,Transit and walkability,1,no,no
Zone 5B,9,77,In Favor of proposed Zoning Changes,high,approves proposal,General support,1,no,no
Zone 5B,10,77,In Favor of proposed Zoning Changes,high,agrees with proposal,General support,1,no,no
Zone 5B,11,77,Against proposed Zoning Changes,high,opposes taller buildings,Building height,1,no,no
Zone 5B,12,77,Against proposed Zoning Changes,high,rejects high rises,General opposition,1,no,no
Zone 5B,13,77,Against proposed Zoning Changes,medium,wants park preserved,General opposition,1,yes,no
Zone 5B,14,77,In Favor of proposed Zoning Changes,high,supports with affordability caveat,Affordable housing,1,no,no
Zone 5B,15,77,Against proposed Zoning Changes,high,explicitly rejects proposal,General opposition,1,no,no
Zone 5B,16,77,In Favor of proposed Zoning Changes,medium,supports higher building here,General support,1,yes,no
Zone 5B,17,77,Against proposed Zoning Changes,high,warns against added density,Density,1,no,no
Zone 5B,18,78,Against proposed Zoning Changes,high,questions apartments and parking,Parking; Density; Conditional or mixed response,3,no,yes
Zone 5B,19,78,Against proposed Zoning Changes,high,rejects more building and density,Density,1,no,no
Zone 5B,20,78,Against proposed Zoning Changes,high,explicitly opposes zoning changes,General opposition,1,no,no
Zone 5B,21,78,Against proposed Zoning Changes,medium,rejects limited parking provisions,Parking,1,yes,no
Zone 5B,22,78,Against proposed Zoning Changes,high,opposes apartments and added people,Density; Conditional or mixed response,2,no,yes
Zone 5B,23,78,Neutral,high,not sure,Unclear or neutral,1,no,no
